Page,Row,Code,Description,Pack,UOM,Price,Issue,Notes
1,1,URBAN ROOTS,,,,,Missing code or description,Fix and re-upload
1,1,URBAN ROOTS,,,,,Missing code or description,Fix and re-upload
1,16,WEEKLY HIGHLIGHTS - VEGGIES,,,,,Missing code or description,Fix and re-upload
1,16,WEEKLY HIGHLIGHTS - FRUIT,,,,,Missing code or description,Fix and re-upload
1,36,CONVENTIONAL APPLES,,,,,Missing code or description,Fix and re-upload
1,36,CONVENTIONAL LETTUCE & SALADS,,,,,Missing code or description,Fix and re-upload
1,37,A,ARUGULA 24 BUNCHED,24 CT,CTN,$ 2 9.50,Invalid SKU format: A,Fix and re-upload
1,73,CONVENTIONAL ARTICHOKES,,,,,Missing code or description,Fix and re-upload
1,77,CONVENTIONAL MANGOS,,,,,Missing code or description,Fix and re-upload
1,79,FRU13D2,MANGO CHUNKS NO LABEL 6X16 OZ,16 OZ,CTN,#N/A,Cannot parse price: #N/A,Fix and re-upload
1,84,CONVENTIONAL MELONS,,,,,Missing code or description,Fix and re-upload
1,86,CONVENTIONAL ASPARAGUS,,,,,Missing code or description,Fix and re-upload
1,95,CONVENTIONAL AVOCADOS,,,,,Missing code or description,Fix and re-upload
1,98,CONVENTIONAL MUSHROOMS,,,,,Missing code or description,Fix and re-upload
1,106,CONVENTIONAL BANANAS & PLANTAINS,,,,,Missing code or description,Fix and re-upload
1,119,CONVENTIONAL BEANS & PEAS,,,,,Missing code or description,Fix and re-upload
1,126,CONVENTIONAL ONIONS & GARLIC,,,,,Missing code or description,Fix and re-upload
2,8,CONVENTIONAL BERRIES,,,,,Missing code or description,Fix and re-upload
2,11,CONVENTIONAL PEARS,,,,,Missing code or description,Fix and re-upload
2,18,PR6A,PEARS FORELLE 1/2 CTN,20 LB,CTN,#N/A,Cannot parse price: #N/A,Fix and re-upload
2,20,CONVENTIONAL PEPPERS,,,,,Missing code or description,Fix and re-upload
2,35,CONVENTIONAL BROCCOLI,,,,,Missing code or description,Fix and re-upload
2,46,CONVENTIONAL PINEAPPLE,,,,,Missing code or description,Fix and re-upload
2,51,CONVENTIONAL BRUSSLES SPROUTS,,,,,Missing code or description,Fix and re-upload
2,57,CONVENTIONAL POTATOES,,,,,Missing code or description,Fix and re-upload
