error_type,reason,page,table,row,side,code,description,pack,uom,price,raw_text,category
parse_error,Missing code or description,1,0,1,left,URBAN ROOTS,,,,,URBAN ROOTS |  |  |  | ,
parse_error,Missing code or description,1,0,1,right,URBAN ROOTS,,,,,URBAN ROOTS |  |  |  | ,
parse_error,Missing code or description,1,0,16,left,WEEKLY HIGHLIGHTS - VEGGIES,,,,,WEEKLY HIGHLIGHTS - VEGGIES |  |  |  | ,
parse_error,Missing code or description,1,0,16,right,WEEKLY HIGHLIGHTS - FRUIT,,,,,WEEKLY HIGHLIGHTS - FRUIT |  |  |  | ,
parse_error,Missing code or description,1,0,36,left,CONVENTIONAL APPLES,,,,,CONVENTIONAL APPLES |  |  |  | ,
parse_error,Missing code or description,1,0,36,right,CONVENTIONAL LETTUCE & SALADS,,,,,CONVENTIONAL LETTUCE & SALADS |  |  |  | ,
parse_error,Invalid SKU format: A,1,0,37,right,A,ARUGULA 24 BUNCHED,24 CT,CTN,$ 2 9.50,A | ARUGULA 24 BUNCHED | 24 CT | CTN | $ 2 9.50,
parse_error,Missing code or description,1,0,73,left,CONVENTIONAL ARTICHOKES,,,,,CONVENTIONAL ARTICHOKES |  |  |  | ,
parse_error,Missing code or description,1,0,77,right,CONVENTIONAL MANGOS,,,,,CONVENTIONAL MANGOS |  |  |  | ,
parse_error,Cannot parse price: #N/A,1,0,79,right,FRU13D2,MANGO CHUNKS NO LABEL 6X16 OZ,16 OZ,CTN,#N/A,FRU13D2 | MANGO CHUNKS NO LABEL 6X16 OZ | 16 OZ | CTN | #N/A,
parse_error,Missing code or description,1,0,84,right,CONVENTIONAL MELONS,,,,,CONVENTIONAL MELONS |  |  |  | ,
parse_error,Missing code or description,1,0,86,left,CONVENTIONAL ASPARAGUS,,,,,CONVENTIONAL ASPARAGUS |  |  |  | ,
parse_error,Missing code or description,1,0,95,left,CONVENTIONAL AVOCADOS,,,,,CONVENTIONAL AVOCADOS |  |  |  | ,
parse_error,Missing code or description,1,0,98,right,CONVENTIONAL MUSHROOMS,,,,,CONVENTIONAL MUSHROOMS |  |  |  | ,
parse_error,Missing code or description,1,0,106,left,CONVENTIONAL BANANAS & PLANTAINS,,,,,CONVENTIONAL BANANAS & PLANTAINS |  |  |  | ,
parse_error,Missing code or description,1,0,119,left,CONVENTIONAL BEANS & PEAS,,,,,CONVENTIONAL BEANS & PEAS |  |  |  | ,
